x_id	y_id	prob	x_name	y_name
149	875	0.865	steven harper	bob harper
278	875	0.9564	harper st. george	bob harper
667	875	0.9456	bob pfeifer	bob harper
126	876	0.9355	harper lee	bob harper
149	876	0.865	steven harper	bob harper
278	876	0.9564	harper st. george	bob harper
667	876	0.9456	bob pfeifer	bob harper
126	877	0.9355	harper lee	bob harper
149	877	0.865	steven harper	bob harper
278	877	0.9564	harper st. george	bob harper
667	877	0.9456	bob pfeifer	bob harper
126	878	0.9355	harper lee	bob harper
149	878	0.865	steven harper	bob harper
278	878	0.9564	harper st. george	bob harper
667	878	0.9456	bob pfeifer	bob harper
73	882	0.9944	anne nelson	bob nelson
835	882	0.9784	maggie nelson	bob nelson
810	884	0.9262	robin roe	bob rosen
280	884	0.9685	bobbie pyron	bob rosen
667	885	0.9561	bob pfeifer	bob schieffer
667	886	0.9561	bob pfeifer	bob sehlinger
280	889	0.9999	bobbie pyron	bobbi brown
280	892	0.9915	bobbie pyron	bobby brown
720	893	0.9998	bodeen	bobby deen
888	893	0.9998	bodeen	bobby deen
28	897	0.921	john harvey	bonnie harvey
113	900	1.0	brunner	borgna brunner
199	902	0.9669	brandon sanderson	brad ferguson
419	902	0.9669	brandon sanderson	brad ferguson
870	902	0.9669	brandon sanderson	brad ferguson
393	910	0.9784	trevor lai	bradley trevor greiv
521	912	0.9355	james beard	brady games
682	912	0.9355	james beard	brady games
199	916	0.8682	brandon sanderson	brandon mull
419	916	0.8682	brandon sanderson	brandon mull
870	916	0.8682	brandon sanderson	brandon mull
