x_id	y_id	prob	x_name	y_name
291	366	0.9766	andrew shvart	andrew morton
339	366	0.997	andrew mayne	andrew morton
674	366	0.997	andrew smith	andrew morton
339	367	0.9971	andrew mayne	andrew neiderman
378	367	0.8252	andrew nurnberg	andrew neiderman
291	368	0.8668	andrew shvart	andrew pyper
339	368	0.9993	andrew mayne	andrew pyper
378	368	0.9625	andrew nurnberg	andrew pyper
674	369	0.8248	andrew smith	andrew ross sorkin
339	370	0.9361	andrew mayne	andrew sean greer
339	371	0.9858	andrew mayne	andrew solomon
674	371	0.9858	andrew smith	andrew solomon
104	372	0.7695	andrew jennings	andrew tobias
339	372	0.8668	andrew mayne	andrew tobias
674	372	0.8668	andrew smith	andrew tobias
291	373	0.9766	andrew shvart	andrew vachss
339	373	0.8668	andrew mayne	andrew vachss
674	373	0.8668	andrew smith	andrew vachss
104	374	0.9949	andrew jennings	andrew weil
291	374	0.8091	andrew shvart	andrew weil
339	374	0.9928	andrew mayne	andrew weil
378	374	0.9566	andrew nurnberg	andrew weil
674	374	0.9928	andrew smith	andrew weil
104	375	0.9949	andrew jennings	andrew weil
291	375	0.8091	andrew shvart	andrew weil
339	375	0.9928	andrew mayne	andrew weil
378	375	0.9566	andrew nurnberg	andrew weil
674	375	0.9928	andrew smith	andrew weil
104	376	0.9625	andrew jennings	andrew young
339	376	0.9993	andrew mayne	andrew young
378	376	0.9625	andrew nurnberg	andrew young
652	376	0.9999	jared young	andrew young
339	378	0.9933	andrew mayne	andy andrews
739	379	0.9625	ann shen	andy cohen
339	382	0.9262	andrew mayne	andy mangels
339	383	0.9262	andrew mayne	andy mangels
353	387	0.9997	andy riley	andy rooney
578	389	0.8618	amanda weaver	andy weir
689	389	0.9563	weird al	andy weir
339	390	0.9903	andrew mayne	angel payne
793	390	0.9561	daniel palmer	angel payne
862	396	0.8618	anna kang	angela knight
862	397	0.8618	anna kang	angela knight
862	398	0.8618	anna kang	angela knight
862	399	0.8618	anna kang	angela knight
457	401	0.8169	malka marom	angela marsons
73	403	0.9561	anne nelson	angie daniels
958	403	0.8292	daniel albert	angie daniels
90	403	1.0	daniels	angie daniels
34	405	0.9991	martine agassi	angie martinez
742	405	0.9722	lex martin	angie martinez
799	405	0.9722	kat martin	angie martinez
385	410	0.9479	cheryl ann smith	angie smith
674	410	0.9999	andrew smith	angie smith
656	412	0.9419	ann mcelhinney	anita clenney
960	413	1.0	anita diamant	anita diamant
985	414	0.9456	mike mills	anita mills
960	415	0.9419	anita diamant	anita moorjani
73	420	0.9997	anne nelson	ann benson
144	420	0.9456	ann bracken	ann benson
739	420	0.9625	ann shen	ann benson
38	420	0.9988	bryan denson	ann benson
608	420	0.8985	michael benson	ann benson
144	421	0.9561	ann bracken	ann brashares
739	421	0.9803	ann shen	ann brashares
144	422	0.8169	ann bracken	ann braybrooks
1	423	0.9699	charles sykes	ann charles
21	423	0.9747	charles swayne	ann charles
212	423	0.9845	charles king	ann charles
309	423	0.9999	charles mann	ann charles
548	423	0.9331	charles fishman	ann charles
639	423	0.9973	charles casillo	ann charles
